日付,品名,購入先,金額,用途
2026-01-05,A4コピー用紙（500枚入）,Amazon,550,契約書・確定申告書類の印刷用
2026-01-05,クリアファイル（10枚入）,100円ショップ,110,領収書・契約書の整理用
2026-01-05,ファイルボックス（2個）,100円ショップ,220,年度別の書類保管用
2026-01-10,プリンターインク（黒+カラー）,Amazon,3980,書類印刷用
2026-02-15,ボールペン・マーカーセット,文房具店,680,帳簿記入・書類チェック用
2026-02-15,電卓,Amazon,1280,収支計算・シミュレーション用
2026-03-10,角形2号封筒（10枚入）,100円ショップ,110,税務署への書類郵送用
2026-03-10,切手（84円×10枚+94円×5枚）,郵便局,1310,税務署・管理会社への郵送用
2026-04-01,クラウドストレージ（年額）,Google One（100GB）,2500,領収書写真・書類のバックアップ保管
2026-05-20,USB メモリ 32GB,Amazon,980,確定申告データ・書類のバックアップ用
2026-06-10,A4コピー用紙（500枚入）,Amazon,550,書類印刷用（補充）
2026-07-15,プリンターインク（黒）,Amazon,2180,書類印刷用（補充）
2026-08-05,ラベルシール,100円ショップ,110,ファイル整理用
2026-09-20,スキャナーアプリ（年額）,Adobe Scan Pro,1800,領収書のデジタル保存用
2026-10-10,クリアファイル（10枚入）,100円ショップ,110,書類整理用（補充）
2026-11-05,A4コピー用紙（500枚入）,Amazon,550,年末の書類整理用
2026-12-10,ファイルボックス（2個）,100円ショップ,220,来年度の書類保管準備
